size,codigo_distrito,parking,codigo_tipo,piscina,total_rooms,price
80.0,55,1,2,1,4,880.0
98.0,55,1,2,1,5,995.0
80.0,55,1,2,1,4,865.0
80.0,55,0,2,1,4,805.0
98.0,55,1,5,1,5,1025.0
80.0,55,1,5,1,4,895.0
80.0,55,0,5,1,4,835.0
65.0,62,0,2,0,3,800.0
80.0,18,1,2,0,5,600.0
94.0,62,1,2,1,4,1000.0
65.0,57,0,2,0,3,700.0
70.0,66,0,2,0,2,900.0
58.0,57,0,2,0,3,650.0
72.0,66,0,2,0,3,850.0
95.0,47,1,2,1,5,950.0
132.0,69,0,2,0,5,1100.0
95.0,66,0,2,0,5,900.0
120.0,69,0,4,0,4,900.0
40.0,55,1,1,1,1,525.0
65.0,66,0,2,0,3,950.0
132.0,69,0,2,0,6,1100.0
52.0,27,1,2,0,2,570.0
80.0,46,1,2,0,3,800.0
340.0,2,1,6,1,7,1900.0
100.0,69,0,2,0,4,1100.0
95.0,66,0,2,0,4,895.0
98.0,70,0,2,0,6,900.0
50.0,69,0,2,0,2,650.0
120.0,69,1,2,1,5,1600.0
65.0,69,0,1,0,1,890.0
160.0,60,0,2,0,6,1550.0
140.0,55,0,2,0,5,1080.0
95.0,55,0,2,1,4,950.0
165.0,69,0,2,0,7,1900.0
218.0,14,0,6,1,5,950.0
70.0,70,1,4,0,2,900.0
55.0,57,0,2,0,3,700.0
180.0,69,0,2,0,7,2700.0
50.0,62,0,2,0,3,800.0
70.0,66,0,2,0,3,1000.0
89.0,48,0,2,0,3,800.0
80.0,69,0,2,0,3,1000.0
140.0,27,0,3,1,5,900.0
75.0,70,0,2,0,3,890.0
65.0,60,0,2,0,3,700.0
92.0,60,0,2,0,4,1200.0
69.0,69,0,2,1,3,1200.0
68.0,70,1,2,0,2,1400.0
110.0,65,0,2,0,4,750.0
75.0,66,0,2,0,4,970.0
43.0,68,1,1,1,1,550.0
90.0,70,0,2,0,4,1230.0
180.0,70,0,5,0,4,2100.0
80.0,70,0,2,0,4,1230.0
60.0,69,0,5,0,3,800.0
55.0,55,1,2,1,2,700.0
184.0,70,1,2,0,7,1800.0
76.0,69,0,2,0,2,1000.0
45.0,39,0,2,0,2,650.0
70.0,51,0,2,0,4,700.0
80.0,18,0,3,0,4,650.0
102.0,62,1,2,0,5,1100.0
97.0,66,0,2,1,5,995.0
90.0,69,0,2,0,3,850.0
70.0,57,0,2,0,4,850.0
121.0,18,0,7,0,5,800.0
65.0,70,1,2,1,2,950.0
65.0,69,0,5,0,2,950.0
140.0,69,1,2,0,6,1300.0
40.0,69,0,1,0,1,550.0
121.0,69,0,2,0,6,1200.0
371.0,63,1,6,1,9,4000.0
87.0,65,0,2,0,3,1000.0
75.0,69,0,2,0,4,950.0
92.0,60,0,2,0,5,1100.0
45.0,69,0,1,0,1,800.0
90.0,48,0,2,0,6,800.0
85.0,66,0,2,0,3,950.0
75.0,66,0,2,0,3,1000.0
90.0,24,1,2,0,4,800.0
50.0,39,0,5,0,2,650.0
80.0,70,1,2,1,5,1850.0
121.0,69,0,2,0,4,1350.0
90.0,48,0,2,0,4,850.0
88.0,57,0,2,0,3,980.0
42.0,69,0,2,0,2,800.0
60.0,69,0,2,0,2,700.0
125.0,70,1,2,0,5,1190.0
35.0,55,1,1,1,1,525.0
65.0,64,1,2,1,2,680.0
85.0,37,1,2,0,4,750.0
203.0,60,1,2,0,7,1750.0
120.0,55,0,2,1,6,900.0
68.0,34,0,2,0,3,630.0
70.0,69,0,2,0,4,1300.0
60.0,69,0,2,0,3,1000.0
121.0,16,0,2,0,5,800.0
105.0,38,0,2,0,4,1200.0
40.0,30,0,2,0,2,550.0
65.0,70,1,2,1,2,900.0
125.0,47,1,3,1,7,1400.0
120.0,66,0,2,0,5,1390.0
120.0,60,0,2,0,4,1300.0
82.0,70,0,2,0,4,900.0
347.0,54,1,7,1,8,3000.0
66.0,30,0,7,0,4,700.0
90.0,62,1,2,1,4,1000.0
244.0,32,0,7,1,7,1750.0
80.0,57,0,2,0,4,950.0
98.0,69,0,2,0,4,1500.0
220.0,69,0,2,0,7,2600.0
55.0,70,1,2,1,2,900.0
61.0,69,0,2,0,4,1250.0
74.0,65,0,2,0,2,1025.0
71.0,66,0,2,0,2,920.0
71.0,66,0,2,0,2,965.0
60.0,70,1,2,1,2,900.0
45.0,69,0,2,0,2,550.0
45.0,69,0,5,0,2,600.0
100.0,62,0,2,0,6,1000.0
122.0,60,0,2,0,5,1200.0
125.0,60,0,2,0,4,900.0
178.0,65,1,2,0,6,1800.0
98.0,66,1,2,0,5,1200.0
315.0,52,1,7,1,9,3500.0
58.0,66,0,2,0,2,850.0
101.0,38,1,2,1,5,785.0
150.0,21,0,3,0,6,850.0
50.0,64,1,2,1,2,680.0
50.0,70,0,2,0,3,850.0
65.0,69,0,2,0,3,750.0
58.0,66,0,2,0,2,800.0
303.0,21,1,7,1,7,1950.0
95.0,62,1,2,0,4,820.0
220.0,69,0,2,0,7,2500.0
45.0,69,0,2,0,2,750.0
110.0,30,0,2,0,5,700.0
65.0,69,0,2,0,4,1000.0
53.0,57,0,2,0,2,800.0
80.0,69,0,2,0,3,825.0
140.0,69,0,2,0,6,1300.0
92.0,19,1,2,1,5,850.0
173.0,15,1,7,0,6,900.0
127.0,44,1,5,0,5,1150.0
614.0,15,1,7,0,9,4500.0
86.0,62,0,4,1,4,1000.0
140.0,17,1,7,1,7,1500.0
125.0,62,0,2,0,5,1350.0
70.0,69,0,2,0,3,1100.0
103.0,65,0,2,0,4,1110.0
110.0,70,0,2,0,6,1000.0
50.0,66,0,2,0,2,900.0
102.0,66,0,2,0,5,1600.0
199.0,52,1,7,1,7,1300.0
94.0,37,1,2,0,6,700.0
147.0,70,1,2,0,8,1300.0
201.0,52,1,7,1,8,1900.0
75.0,66,0,2,0,4,800.0
210.0,52,1,7,1,8,1900.0
201.0,52,1,7,1,8,1900.0
322.0,52,1,7,1,10,3500.0
110.0,55,1,2,0,6,850.0
40.0,60,0,1,0,1,700.0
380.0,7,1,7,1,9,2300.0
88.0,69,0,2,0,3,780.0
70.0,20,1,2,0,5,698.0
90.0,48,1,2,0,4,800.0
115.0,69,0,2,0,5,1500.0
55.0,61,0,2,0,2,675.0
70.0,66,0,2,0,2,900.0
60.0,69,0,2,0,4,780.0
86.0,66,0,2,0,5,900.0
67.0,69,0,2,0,2,900.0
160.0,60,0,2,0,6,1550.0
105.0,38,0,2,0,4,1250.0
125.0,62,0,2,0,5,1350.0
63.0,70,0,2,0,3,920.0
65.0,66,0,2,0,3,1000.0
80.0,43,0,2,0,4,750.0
72.0,38,0,2,0,3,600.0
50.0,38,0,2,0,2,550.0
70.0,69,0,2,0,3,1100.0
59.0,70,0,2,0,4,700.0
110.0,57,1,5,0,6,950.0
85.0,66,0,2,0,5,1000.0
75.0,69,0,2,0,3,1150.0
198.0,69,1,2,0,8,2000.0
130.0,62,0,2,1,5,1400.0
60.0,69,0,1,0,1,900.0
120.0,36,1,2,0,5,900.0
71.0,66,0,2,0,4,760.0
170.0,70,1,2,0,7,2000.0
83.0,56,1,5,0,3,1200.0
83.0,56,1,5,0,3,1200.0
375.0,52,1,7,1,11,4500.0
90.0,69,0,2,0,4,950.0
76.0,69,0,2,0,3,800.0
84.0,53,1,2,1,5,990.0
40.0,69,0,1,0,1,600.0
96.0,60,0,2,0,5,990.0
163.0,70,1,2,0,8,1600.0
170.0,70,1,2,0,4,2400.0
85.0,27,0,2,0,4,600.0
70.0,55,1,2,0,4,700.0
90.0,60,0,2,0,4,850.0
105.0,38,0,2,0,4,1200.0
105.0,38,0,2,0,4,1200.0
70.0,65,0,2,0,4,850.0
111.0,44,1,3,0,6,950.0
80.0,66,0,2,0,4,1100.0
230.0,31,1,6,1,8,1200.0
56.0,69,0,2,0,2,950.0
120.0,29,1,2,1,5,1100.0
50.0,70,0,2,0,2,999.0
120.0,3,1,7,0,6,725.0
60.0,69,0,2,0,2,775.0
60.0,70,0,2,0,2,850.0
194.0,44,1,6,1,6,1400.0
70.0,69,0,5,0,3,1500.0
113.0,48,1,2,0,6,1200.0
60.0,69,0,5,0,2,1500.0
107.0,55,1,2,1,5,1000.0
65.0,66,0,2,0,3,850.0
260.0,38,0,7,0,8,1600.0
90.0,66,0,3,0,4,1200.0
109.0,65,0,2,1,5,1400.0
80.0,66,0,2,0,4,1170.0
96.0,40,0,2,0,5,950.0
101.0,70,1,2,0,3,1100.0
120.0,70,1,2,0,6,950.0
101.0,70,1,2,0,5,1200.0
50.0,70,1,2,1,2,900.0
116.0,38,1,2,1,5,965.0
116.0,38,1,2,1,5,960.0
120.0,38,1,2,1,5,988.0
115.0,38,1,2,1,5,987.0
123.0,38,1,2,1,5,954.0
35.0,69,0,5,0,2,650.0
120.0,60,0,2,0,5,940.0
50.0,69,0,2,0,3,650.0
110.0,60,0,2,0,6,880.0
65.0,70,1,2,1,2,900.0
90.0,57,0,2,0,4,800.0
57.0,55,0,2,1,2,630.0
129.0,48,1,2,0,6,1200.0
159.0,29,0,3,1,7,1300.0
88.0,65,1,2,0,4,1050.0
160.0,60,0,2,0,6,1950.0
187.0,69,1,2,0,8,1700.0
100.0,43,1,2,1,6,990.0
45.0,36,0,2,0,2,700.0
150.0,1,0,3,0,3,650.0
80.0,69,0,2,0,4,850.0
106.0,60,0,2,0,5,940.0
60.0,30,0,2,0,3,580.0
91.0,60,0,2,0,4,950.0
70.0,69,0,2,0,4,1100.0
72.0,38,0,2,0,4,750.0
120.0,60,0,2,0,5,970.0
80.0,44,1,2,1,4,750.0
60.0,30,1,2,0,3,600.0
98.0,48,0,2,0,5,850.0
60.0,66,0,2,0,2,750.0
150.0,70,0,2,0,5,1200.0
127.0,42,1,5,1,5,1190.0
115.0,47,1,5,1,5,1290.0
140.0,69,0,2,0,4,1500.0
100.0,60,0,2,0,4,1100.0
50.0,66,0,2,0,2,900.0
80.0,69,0,5,0,4,860.0
130.0,60,0,2,0,5,1400.0
122.0,56,1,3,0,7,1100.0
150.0,69,1,2,0,7,1650.0
184.0,69,1,2,0,6,2300.0
100.0,70,1,5,0,4,2400.0
85.0,66,0,2,0,3,1000.0
90.0,65,1,2,0,4,1000.0
83.0,66,0,2,0,4,1700.0
60.0,70,1,2,1,2,900.0
80.0,69,0,2,0,4,1200.0
70.0,69,0,2,0,2,880.0
80.0,70,1,2,1,2,950.0
68.0,70,1,2,1,2,950.0
69.0,66,0,2,0,3,1200.0
130.0,69,0,2,0,4,1600.0
112.0,70,1,2,0,5,1650.0
70.0,62,0,2,0,3,850.0
310.0,15,1,7,1,9,2500.0
115.0,57,0,2,0,3,1200.0
97.0,8,0,2,0,4,650.0
65.0,70,1,2,1,2,900.0
90.0,65,1,2,0,4,900.0
105.0,47,1,5,1,5,1000.0
48.0,56,0,1,0,1,520.0
72.0,70,1,5,1,2,900.0
135.0,48,1,2,0,6,1200.0
180.0,69,1,2,0,7,1800.0
50.0,55,0,2,0,2,800.0
113.0,69,0,2,0,4,1300.0
125.0,70,0,2,0,5,1200.0
88.0,57,1,2,0,5,900.0
145.0,60,0,2,0,5,1500.0
65.0,65,1,2,0,3,850.0
120.0,64,0,2,1,7,1300.0
70.0,69,0,5,0,2,1150.0
142.0,25,1,3,0,7,1300.0
290.0,63,0,7,1,10,4500.0
80.0,69,0,2,0,3,925.0
80.0,60,0,2,0,2,850.0
65.0,57,0,2,0,4,645.0
40.0,69,0,2,0,2,740.0
102.0,66,0,2,0,5,1600.0
