size,precio_area / distrito,parking,codigo_tipo,piscina,total_rooms,price
120.0,6.217391304347826,0,7,0,5,500.0
108.0,12.945652173913043,0,2,0,2,650.0
85.0,13.583710407239819,1,5,0,4,1300.0
50.0,13.583710407239819,0,2,0,2,1100.0
35.0,13.583710407239819,0,5,0,2,650.0
177.0,13.583710407239819,0,2,0,6,1800.0
58.0,10.954545454545455,0,2,0,3,650.0
60.0,13.583710407239819,0,2,0,4,780.0
70.0,13.583710407239819,0,2,0,2,880.0
60.0,13.583710407239819,0,5,0,3,950.0
220.0,13.583710407239819,0,2,0,7,2500.0
69.0,12.945652173913043,0,2,0,3,880.0
80.0,7.6923076923076925,0,3,0,4,650.0
45.0,9.0,0,2,0,2,700.0
57.0,10.666666666666666,0,2,1,2,630.0
326.0,12.142857142857142,1,6,1,9,4500.0
98.0,12.945652173913043,1,2,0,5,1200.0
45.0,13.583710407239819,0,2,0,3,850.0
236.0,8.333333333333334,0,7,0,5,1000.0
70.0,6.217391304347826,0,2,0,3,500.0
120.0,9.11111111111111,1,2,1,5,982.0
68.0,13.694444444444445,1,2,1,2,950.0
65.0,13.583710407239819,0,5,0,2,950.0
93.0,9.11111111111111,1,2,1,3,725.0
247.0,9.5,1,7,1,8,1500.0
60.0,10.666666666666666,1,2,1,2,800.0
70.0,11.035087719298245,0,2,0,4,1100.0
242.0,13.583710407239819,1,3,0,8,2500.0
153.0,13.583710407239819,0,2,0,5,1200.0
50.0,12.222222222222221,1,2,1,2,680.0
54.0,11.25,0,2,0,4,655.0
95.0,11.588235294117647,1,2,0,4,820.0
75.0,13.694444444444445,0,2,0,3,890.0
614.0,7.2,1,7,0,9,4500.0
98.0,10.666666666666666,0,2,1,5,935.0
109.0,11.588235294117647,0,5,1,4,1350.0
65.0,10.954545454545455,0,2,0,4,645.0
75.0,12.945652173913043,0,2,0,3,1000.0
120.0,13.583710407239819,0,2,0,2,2000.0
380.0,6.25,1,7,1,9,2300.0
77.0,12.945652173913043,1,2,0,4,1000.0
75.0,8.333333333333334,0,3,0,4,650.0
90.0,12.945652173913043,0,2,0,5,1300.0
85.0,8.4,0,2,0,4,600.0
73.0,12.945652173913043,0,2,0,5,990.0
110.0,13.583710407239819,0,5,0,4,1350.0
110.0,11.588235294117647,1,5,1,4,1350.0
130.0,6.217391304347826,0,3,0,4,600.0
65.0,13.583710407239819,0,2,0,4,1000.0
60.0,13.583710407239819,0,2,0,2,850.0
150.0,13.694444444444445,0,2,0,5,1200.0
80.0,13.583710407239819,0,2,0,4,850.0
80.0,6.217391304347826,1,2,0,2,599.0
115.0,12.310344827586206,0,2,0,5,1100.0
100.0,13.694444444444445,1,5,0,4,2400.0
93.0,13.583710407239819,0,2,0,4,970.0
81.0,9.125,0,2,0,4,530.0
91.0,13.694444444444445,1,4,0,5,1500.0
65.0,12.310344827586206,1,2,0,3,850.0
110.0,12.310344827586206,0,2,0,4,750.0
90.0,10.25,1,2,1,5,800.0
40.0,11.035087719298245,0,1,0,1,800.0
290.0,8.0,1,7,1,7,1800.0
70.0,11.588235294117647,0,2,0,3,850.0
92.0,10.666666666666666,1,2,0,5,960.0
102.0,11.588235294117647,1,2,0,5,1100.0
60.0,13.583710407239819,0,2,0,3,1000.0
75.0,13.583710407239819,0,2,0,3,1600.0
120.0,12.945652173913043,0,2,0,4,2500.0
98.0,10.666666666666666,1,5,1,5,1025.0
70.0,9.5,1,2,1,4,750.0
90.0,11.588235294117647,1,2,1,4,1000.0
127.0,9.5,1,5,1,5,1190.0
350.0,6.25,1,6,1,8,1999.0
76.0,13.583710407239819,0,2,0,2,1000.0
419.0,12.142857142857142,1,7,1,11,5000.0
125.0,13.694444444444445,0,2,0,5,1200.0
110.0,10.954545454545455,0,2,0,6,800.0
206.0,10.666666666666666,1,2,0,8,1250.0
70.0,13.583710407239819,0,2,0,3,875.0
85.0,11.035087719298245,0,2,0,2,850.0
65.0,11.588235294117647,0,2,0,3,800.0
93.0,9.0,0,2,0,5,675.0
95.0,13.694444444444445,0,2,0,5,950.0
50.0,13.583710407239819,0,2,0,2,650.0
135.0,11.035087719298245,0,2,0,5,2000.0
55.0,10.666666666666666,0,2,1,2,625.0
70.0,13.583710407239819,0,5,0,2,1375.0
112.0,13.694444444444445,1,2,0,5,1650.0
75.0,12.310344827586206,1,2,0,3,750.0
249.0,13.583710407239819,1,5,0,8,4950.0
92.0,10.666666666666666,0,2,0,5,880.0
